paper,link,authors,venue,year,idea,gap,category,relevant
A Survey for LLM Agent Trajectory Analysis: From Failure Attribution to Enhancement,https://arxiv.org/html/2606.06324v2,"Wang, Wang, Chen, Xie, Chen, Mu, Liu, Wang",arXiv,2026,"Surveys 42 papers (from 1452 screened) organizing trajectory analysis into failure attribution, debugging, repair, optimization, monitoring, and benchmarks.",Read this first - defines the existing map of the exact space you're entering.,survey,yes
AgentForesight,https://arxiv.org/abs/2605.08715,?,arXiv,2026,Online prefix-only auditing that alarms at the earliest decisive error in a trajectory; 7B auditor beats GPT-4.1/DeepSeek-V4-Pro on step localization.,"External judge model reads text trajectory, not the acting agent's own internal state - your differentiation point.",coding,yes
TrajAD: Trajectory Anomaly Detection for Trustworthy LLM Agents,https://arxiv.org/pdf/2602.06443,"Liu, Zhang, Han, Liu, Wang, Yu, Wang, Yin",arXiv,2026,Anomaly detection framework for agent trajectories aimed at trustworthiness.,Check whether it uses internal model signals or only external/behavioral features.,cross-domain,yes
TrajAudit,https://arxiv.org/html/2605.26563v1,?,arXiv,2026,Post-hoc failure diagnosis via failure-keyword folding + investigator agent for coding agents.,"Post-hoc only, not online/early.",coding,yes
Beyond Resolution Rates: Behavioral Drivers of Coding Agent Success and Failure,https://arxiv.org/html/2604.02547v1,"Mehtiyev, Assuncao",arXiv,2026,Structural trajectory sequencing (read/patch/validate) distinguishes success/failure better than trajectory length.,Calls for real-time monitoring but doesn't build it.,coding,yes
Coherence Collapse,https://arxiv.org/pdf/2603.24631,?,arXiv,2026,Names a failure mode: agent reaches correct code then overwrites/thrashes it; length-independent.,Doesn't test whether internal confidence dips at the collapse point.,coding,yes
Inside the Scaffold,https://arxiv.org/pdf/2604.03515,?,arXiv,2026,Survey of coding agent architectures; failure trajectories run 12-82% longer than successful ones.,,coding,yes
StressWeb,https://arxiv.org/pdf/2604.16385,?,arXiv,2026,"Diagnostic benchmark that injects controlled perturbations into web environments to test agent robustness, rather than post-hoc analysis.","Interventional, not internal-signal based - good contrast.",web,yes
WAREX,,"Kara, et al.",arXiv,2025,"Large-scale reliability analysis of web agents across existing benchmarks, revealing performance variance under identical settings.","Analysis framework only, not an environment/benchmark itself.",web,yes
GEM: Gaussian Embedding Modeling for OOD Detection in GUI Agents,https://arxiv.org/pdf/2505.12842,?,arXiv,2025,Models trajectory embeddings as Gaussians to detect out-of-distribution risk in GUI agents.,,gui,yes
GUITester,https://arxiv.org/pdf/2601.04500,?,arXiv,2025/2026,Identifies Repetition-Induced Termination and Goal Conflict as GUI agent failure modes.,"Descriptive taxonomy, not a detection method.",gui,yes
DiagEval,https://arxiv.org/pdf/2605.17439,?,arXiv,2026,Trajectory-conditioned diagnosis distinguishing software defects from agent-side execution misses.,,gui,yes
MLA-Trust,,"Yang, et al.",arXiv,2025,"Benchmarks trustworthiness of multimodal LLM agents in GUI environments across perception, reasoning, safety.","Static task distributions, not interventional.",gui,yes
Recovering Policy-Induced Errors,https://arxiv.org/pdf/2605.29447,?,arXiv,2026,Benchmark + trajectory synthesis for GUI agent robustness.,,gui,yes
